Product Code,Description,Selling Group
BC5,BEEF C5,Sides B/C3-6
BC6,BEEF C6,Sides B/C3-6
,,
BB3F,BEEF B3 FORE QUARTER,FQ B/C3-6
BB4F,BEEF B4 FORE QUARTER,FQ B/C3-6
BB5F,BEEF B5 FORE QUARTER,FQ B/C3-6
BB6F,BEEF B6 FORE QUARTER,FQ B/C3-6
BC3F,BEEF C3 FORE QUARTER,FQ B/C3-6
BC4F,BEEF C4 FORE QUARTER,FQ B/C3-6
BC5F,BEEF C5 FORE QUARTER,FQ B/C3-6
BC6F,BEEF C6 FORE QUARTER,FQ B/C3-6
,,
BB3H,BEEF B3 HIND QUARTER,HQ B/C3-6
BB4H,BEEF B4 HIND QUARTER,HQ B/C3-6
BB5H,BEEF B5 HIND QUARTER,HQ B/C3-6
BB6H,BEEF B6 HIND QUARTER,HQ B/C3-6
BC3H,BEEF C3 HIND QUARTER,HQ B/C3-6
BC4H,BEEF C4 HIND QUARTER,HQ B/C3-6
BC5H,BEEF C5 HIND QUARTER,HQ B/C3-6
BC6H,BEEF C6 HIND QUARTER,HQ B/C3-6
,,
BB3R,BEEF B3 RUMP & LOIN,R&L B/C3-6
BB4R,BEEF B4 RUMP & LOIN,R&L B/C3-6
BB5R,BEEF B5 RUMP & LOIN,R&L B/C3-6
BB6R,BEEF B6 RUMP & LION,R&L B/C3-6
BC3R,BEEF C3 RUMP & LOIN,R&L B/C3-6
BC4R,BEEF C4 RUMP & LOIN,R&L B/C3-6
BC5R,BEEF C5 RUMP & LOIN,R&L B/C3-6
BC6R,BEEF C6 RUMP & LOIN,R&L B/C3-6
,,
BB3T,BEEF B3 BUTTOCK,Buttocks B/C3-6
BB4T,BEEF B4 BUTTOCK,Buttocks B/C3-6
BB5T,BEEF B5 BUTTOCK,Buttocks B/C3-6
BB6T,BEEF B6 BUTTOCK,Buttocks B/C3-6
BC3T,BEEF C3 BUTTOCKS,Buttocks B/C3-6
BC4T,BEEF C4 BUTTOCKS,Buttocks B/C3-6
BC5T,BEEF C5 BUTTOCKS,Buttocks B/C3-6
BC6T,BEEF C6 BUTTOCKS,Buttocks B/C3-6
,,
,,
,,
,,
BB3HP,BEEF B3 PISTOLA HQ,Pistola HQ B/C3-6
BB4HP,BEEF B4 PISTOLA HQ,Pistola HQ B/C3-6
BB5HP,BEEF B1 PISTOLA HQ,Pistola HQ B/C3-6
BB6HP,BEEF B6 PISTOLA HQ,Pistola HQ B/C3-6
BC3HP,BEEF C3 PISTOLA HQ,Pistola HQ B/C3-6
BC4HP,BEEF C4 PISTOLA HQ,Pistola HQ B/C3-6
BC5HP,BEEF C5 PISTOLA HQ,Pistola HQ B/C3-6
BC6HP,BEEF C6 PISTOLA HQ,Pistola HQ B/C3-6
,,
BB3RP,BEEF B3  PISTOLA RUMP & LOIN,Pistola R&L B/C3-6
BB4RP,BEEF B4  PISTOLA RUMP & LOIN,Pistola R&L B/C3-6
BB5RP,BEEF B5  PISTOLA RUMP & LOIN,Pistola R&L B/C3-6
BB6RP,BEEF B6  PISTOLA RUMP & LOIN,Pistola R&L B/C3-6
BC3RP,BEEF C3/4 PISTOLA RUMP & LOIN,Pistola R&L B/C3-6
BC4RP,BEEF C4  PISTOLA RUMP & LOIN,Pistola R&L B/C3-6
BC5RP,BEEF C5  PISTOLA RUMP & LOIN,Pistola R&L B/C3-6
BC6RP,BEEF C6  PISTOLA RUMP & LOIN,Pistola R&L B/C3-6
,,
BB3FS,BEEF B3 FORE QUARTER SHIN OFF,FQ SO B/C3-6
BB4FS,BEEF B4 FORE QUARTER SHIN OFF,FQ SO B/C3-6
BB5FS,BEEF B5 FORE QUARTER SHIN OFF,FQ SO B/C3-6
BB6FS,BEEF B6 FORE QUARTER SHIN OFF,FQ SO B/C3-6
BC3FS,BEEF C3 FORE QUARTER SHIN OFF,FQ SO B/C3-6
BC4FS,BEEF C4 FORE QUARTER SHIN OFF,FQ SO B/C3-6
BC5FS,BEEF C5 FORE QUARTER SHIN OFF,FQ SO B/C3-6
BC6FS,BEEF C6 FORE QUARTER SHIN OFF,FQ SO B/C3-6
,,
BB3FSQ,BEEF B3 FORE QUARTER SQUARE CUT,FQ SQC B/C3-6
BB4FSQ,BEEF B4 FORE QUARTER SQUARE CUT,FQ SQC B/C3-6
BB5FSQ,BEEF B5 FORE QUARTER SQUARE CUT,FQ SQC B/C3-6
BB6FSQ,BEEF B6 FORE QUARTER SQUARE CUT,FQ SQC B/C3-6
BC3FSQ,BEEF C3 FORE QUARTER SQUARE CUT,FQ SQC B/C3-6
BC4FSQ,BEEF C4 FORE QUARTER SQUARE CUT,FQ SQC B/C3-6
BC5FSQ,BEEF C5 FORE QUARTER SQUARE CUT,FQ SQC B/C3-6
BC6FSQ,BEEF C6 FORE QUARTER SQUARE CUT,FQ SQC B/C3-6
,,
BAB0B,BEEF AB0 BULL,Bull Sides AB0-1
BAB1B,BEEF AB1 BULL,Bull Sides AB0-1
,,
BAB0BF,BEEF AB0 BULL FORE QUARTER,Bull FQ AB0-1
BAB1BF,BEEF AB1 BULL FORE QUARTER,Bull FQ AB0-1
,,
BAB0BH,BEEF AB0 BULL HIND QUARTER,Bull HQ AB0-1
BAB1BH,BEEF AB1 BULL HIND QUARTER,Bull HQ AB0-1
,,
BAB2B,BEEF AB2 BULL,Bull Sides AB2
,,
BAB2BF,BEEF AB2 BULL FORE QUARTER,Bull FQ AB2
,,
BAB2BH,BEEF AB2 BULL HIND QUARTER,Bull HQ AB2
,,
BAB3B,BEEF AB3 BULL,Bull Sides AB3-6
BAB4B,BEEF AB4 BULL,Bull Sides AB3-6
BAB5B,BEEF AB5 BULL,Bull Sides AB3-6
BAB6B,BEEF AB6 BULL,Bull Sides AB3-6
,,
BAB3BF,BEEF AB3 BULL FORE QUARTER,Bull FQ AB3-6
BAB4BF,BEEF AB4 BULL FORE QUARTER,Bull FQ AB3-6
BAB5BF,BEEF AB5 BULL FORE QUARTER,Bull FQ AB3-6
BAB6BF,BEEF AB6 BULL FORE QUARTER,Bull FQ AB3-6
,,
BAB3BH,BEEF AB3 BULL HIND QUARTER,Bull HQ AB3-6
BAB4BH,BEEF AB4 BULL HIND QUARTER,Bull HQ AB3-6
BAB5BH,BEEF AB5 BULL HIND QUARTER,Bull HQ AB3-6
BAB6BH,BEEF AB6 BULL HIND QUARTER,Bull HQ AB3-6
,,
BB0B,BEEF B0 BULL,Bull Sides B/C0-1
BB1B,BEEF B1 BULL,Bull Sides B/C0-1
BC0B,BEEF C0 BULL,Bull Sides B/C0-1
BC1B,BEEF C1 BULL,Bull Sides B/C0-1
,,
BB0BF,BEEF B0 BULL FORE QUARTER,Bull FQ B/C0-1
BB1BF,BEEF B1 BULL FORE QUARTER,Bull FQ B/C0-1
BC0BF,BEEF C0 BULL FORE QUARTER,Bull FQ B/C0-1
BC1BF,BEEF C1 BULL FORE QUARTER,Bull FQ B/C0-1
,,
BB0BH,BEEF B0 BULL HIND QUARTER,Bull HQ B/C0-1
BB1BH,BEEF B1 BULL HIND QUARTER,Bull HQ B/C0-1
